sim_time,event,visitor_id,visitor_type,ride_name,count,ride_popularity,reason
10:07 AM,queue_length,,,ThunderCoaster,0,,
10:08 AM,queue_length,,,SkyDrop,0,,
10:11 AM,queue_length,,,Carousel,0,,
10:12 AM,queue_length,,,HauntedMansion,0,,
10:17 AM,queue_length,,,ThunderCoaster,0,,
10:18 AM,queue_length,,,SkyDrop,0,,
10:10 AM,arrival,78,Tourist,,,,
10:10 AM,arrival,150,Tourist,,,,
10:10 AM,arrival,26,Child,,,,
10:10 AM,arrival,20,Child,,,,
10:24 AM,queue_length,,,Carousel,3,,
10:24 AM,ride_board,,,Carousel,3,0.5,
10:25 AM,queue_length,,,ThunderCoaster,0,,
10:29 AM,queue_length,,,SkyDrop,2,,
10:30 AM,queue_length,,,HauntedMansion,0,,
10:27 AM,arrival,159,Tourist,,,,
10:27 AM,arrival,49,Child,,,,
10:27 AM,arrival,183,Tourist,,,,
10:27 AM,arrival,221,AdrenalineAddict,,,,
10:27 AM,arrival,91,Tourist,,,,
10:27 AM,arrival,70,Tourist,,,,
10:39 AM,queue_length,,,SkyDrop,4,,
10:40 AM,queue_length,,,HauntedMansion,1,,
10:42 AM,ride_board,,,SkyDrop,4,0.8,
10:45 AM,queue_length,,,ThunderCoaster,2,,
10:48 AM,arrival,103,Tourist,,,,
10:48 AM,arrival,36,Child,,,,
10:48 AM,arrival,145,Tourist,,,,
11:00 AM,order,20,,IceCreamStand,,,
11:00 AM,order,26,,IceCreamStand,,,
11:03 AM,queue_length,,,HauntedMansion,4,,
11:03 AM,ride_board,,,HauntedMansion,4,0.7,
11:05 AM,queue_length,,,ThunderCoaster,3,,
11:07 AM,ride_board,,,ThunderCoaster,4,0.9,
11:12 AM,arrival,126,Tourist,,,,
11:12 AM,arrival,226,AdrenalineAddict,,,,
11:12 AM,arrival,237,AdrenalineAddict,,,,
11:12 AM,arrival,154,Tourist,,,,
11:12 AM,arrival,238,AdrenalineAddict,,,,
11:12 AM,arrival,43,Child,,,,
11:12 AM,arrival,178,Tourist,,,,
11:12 AM,arrival,185,Tourist,,,,
11:12 AM,arrival,187,Tourist,,,,
11:12 AM,arrival,67,Tourist,,,,
11:12 AM,arrival,46,Child,,,,
11:12 AM,arrival,149,Tourist,,,,
11:12 AM,arrival,245,AdrenalineAddict,,,,
11:12 AM,arrival,124,Tourist,,,,
11:12 AM,arrival,208,AdrenalineAddict,,,,
11:12 AM,arrival,216,AdrenalineAddict,,,,
11:12 AM,arrival,122,Tourist,,,,
11:12 AM,arrival,127,Tourist,,,,
11:20 AM,served,20,,IceCreamStand,,,
11:20 AM,served,26,,IceCreamStand,,,
11:20 AM,order,36,,IceCreamStand,,,
11:20 AM,order,20,,IceCreamStand,,,
11:47 AM,arrival,9,Child,,,,
11:47 AM,arrival,246,AdrenalineAddict,,,,
11:47 AM,arrival,30,Child,,,,
11:47 AM,arrival,60,Tourist,,,,
11:47 AM,arrival,228,AdrenalineAddict,,,,
11:47 AM,arrival,8,Child,,,,
11:47 AM,arrival,172,Tourist,,,,
11:47 AM,arrival,89,Tourist,,,,
11:47 AM,arrival,69,Tourist,,,,
11:47 AM,arrival,32,Child,,,,
11:47 AM,arrival,18,Child,,,,
11:47 AM,arrival,16,Child,,,,
11:47 AM,arrival,7,Child,,,,
11:47 AM,arrival,134,Tourist,,,,
11:47 AM,arrival,45,Child,,,,
11:47 AM,arrival,97,Tourist,,,,
11:47 AM,arrival,142,Tourist,,,,
11:47 AM,arrival,12,Child,,,,
11:47 AM,arrival,15,Child,,,,
11:47 AM,arrival,59,Tourist,,,,
11:47 AM,arrival,117,Tourist,,,,
11:47 AM,arrival,164,Tourist,,,,
11:47 AM,arrival,63,Tourist,,,,
11:47 AM,arrival,196,Tourist,,,,
11:47 AM,arrival,160,Tourist,,,,
11:53 AM,queue_length,,,Carousel,22,,
11:59 AM,order,150,,BurgerTruck,,,
11:59 AM,order,91,,BurgerTruck,,,
11:59 AM,order,159,,BurgerTruck,,,
12:05 PM,served,36,,IceCreamStand,,,
12:05 PM,served,20,,IceCreamStand,,,
12:05 PM,order,49,,IceCreamStand,,,
12:32 PM,arrival,2,Child,,,,
12:32 PM,arrival,88,Tourist,,,,
12:32 PM,arrival,235,AdrenalineAddict,,,,
12:32 PM,arrival,153,Tourist,,,,
12:32 PM,arrival,192,Tourist,,,,
12:32 PM,arrival,193,Tourist,,,,
12:32 PM,arrival,165,Tourist,,,,
12:32 PM,arrival,129,Tourist,,,,
12:32 PM,arrival,195,Tourist,,,,
12:32 PM,arrival,50,Child,,,,
12:32 PM,arrival,29,Child,,,,
12:32 PM,arrival,163,Tourist,,,,
12:32 PM,arrival,173,Tourist,,,,
12:32 PM,arrival,175,Tourist,,,,
12:32 PM,arrival,102,Tourist,,,,
12:32 PM,arrival,201,AdrenalineAddict,,,,
12:32 PM,arrival,220,AdrenalineAddict,,,,
12:32 PM,arrival,37,Child,,,,
12:32 PM,arrival,168,Tourist,,,,
12:32 PM,arrival,248,AdrenalineAddict,,,,
12:32 PM,arrival,118,Tourist,,,,
12:32 PM,arrival,133,Tourist,,,,
12:32 PM,arrival,112,Tourist,,,,
12:32 PM,arrival,189,Tourist,,,,
12:32 PM,arrival,35,Child,,,,
12:32 PM,arrival,166,Tourist,,,,
12:32 PM,arrival,52,Tourist,,,,
12:32 PM,arrival,143,Tourist,,,,
12:32 PM,arrival,10,Child,,,,
12:32 PM,arrival,77,Tourist,,,,
12:32 PM,arrival,227,AdrenalineAddict,,,,
12:32 PM,arrival,241,AdrenalineAddict,,,,
12:32 PM,arrival,135,Tourist,,,,
12:32 PM,arrival,98,Tourist,,,,
12:32 PM,arrival,125,Tourist,,,,
12:32 PM,arrival,155,Tourist,,,,
12:32 PM,arrival,250,AdrenalineAddict,,,,
12:32 PM,arrival,61,Tourist,,,,
12:32 PM,arrival,68,Tourist,,,,
12:32 PM,arrival,146,Tourist,,,,
12:32 PM,arrival,39,Child,,,,
12:32 PM,arrival,64,Tourist,,,,
12:32 PM,arrival,92,Tourist,,,,
12:32 PM,arrival,51,Tourist,,,,
13:08 PM,queue_length,,,Carousel,34,,
13:08 PM,ride_board,,,Carousel,16,0.5,
13:09 PM,served,150,,BurgerTruck,,,
13:09 PM,served,91,,BurgerTruck,,,
13:09 PM,served,159,,BurgerTruck,,,
13:09 PM,order,70,,BurgerTruck,,,
13:09 PM,order,145,,BurgerTruck,,,
13:09 PM,order,122,,BurgerTruck,,,
13:09 PM,order,126,,BurgerTruck,,,
13:09 PM,order,149,,BurgerTruck,,,
13:09 PM,order,154,,BurgerTruck,,,
13:09 PM,order,78,,BurgerTruck,,,
